tokenizer,vocab_size,lang,sentences,tokens,words,bytes,graphemes,tok_per_sent,ratio_sent,tok_per_word,ratio_word,tok_per_grapheme,ratio_grapheme,tok_per_byte,ratio_byte
gpt2,50257,eng,1012,27044,21901,132096,131966,26.72,1.0,1.23,1.0,0.205,1.0,0.205,1.0
gpt2,50257,hin,1012,200688,25643,337439,85957,198.31,7.42,7.83,6.34,2.335,11.39,0.595,2.9
gpt2,50257,kan,1012,367366,16100,375341,90371,363.01,13.58,22.82,18.48,4.065,19.84,0.979,4.78
gpt2,50257,tam,1012,420171,16775,421635,99724,415.19,15.54,25.05,20.28,4.213,20.56,0.997,4.87
gpt2,50257,tel,1012,350748,16938,353661,76567,346.59,12.97,20.71,16.77,4.581,22.35,0.992,4.84
xlm-roberta-base,250002,eng,1012,30661,21901,132096,131966,30.3,1.0,1.4,1.0,0.232,1.0,0.232,1.0
xlm-roberta-base,250002,hin,1012,38221,25643,337439,85957,37.77,1.25,1.49,1.06,0.445,1.91,0.113,0.49
xlm-roberta-base,250002,kan,1012,41459,16100,375341,90371,40.97,1.35,2.58,1.84,0.459,1.97,0.11,0.48
xlm-roberta-base,250002,tam,1012,41354,16775,421635,99724,40.86,1.35,2.47,1.76,0.415,1.78,0.098,0.42
xlm-roberta-base,250002,tel,1012,40372,16938,353661,76567,39.89,1.32,2.38,1.7,0.527,2.27,0.114,0.49
google/muril-base-cased,197258,eng,1012,27581,21901,132096,131966,27.25,1.0,1.26,1.0,0.209,1.0,0.209,1.0
google/muril-base-cased,197258,hin,1012,31924,25643,337439,85957,31.55,1.16,1.24,0.99,0.371,1.78,0.095,0.45
google/muril-base-cased,197258,kan,1012,29382,16100,375341,90371,29.03,1.07,1.82,1.45,0.325,1.56,0.078,0.37
google/muril-base-cased,197258,tam,1012,29204,16775,421635,99724,28.86,1.06,1.74,1.38,0.293,1.4,0.069,0.33
google/muril-base-cased,197258,tel,1012,33190,16938,353661,76567,32.8,1.2,1.96,1.56,0.433,2.07,0.094,0.45
